Match number,blueBans,redBans
1,"['Rumble', 'Kassadin', 'Lissandra']","['Tristana', 'Leblanc', 'Nidalee']"
2,"['Kassadin', 'Sivir', 'Lissandra']","['RekSai', 'Janna', 'Leblanc']"
3,"['JarvanIV', 'Lissandra', 'Kassadin']","['Leblanc', 'Zed', 'RekSai']"
4,"['Annie', 'Lissandra', 'Kassadin']","['RekSai', 'Rumble', 'LeeSin']"
5,"['Irelia', 'Pantheon', 'Kassadin']","['Rumble', 'Sivir', 'Rengar']"
6,"['LeeSin', 'Rumble', 'Janna']","['Azir', 'RekSai', 'Lissandra']"
7,"['Zed', 'Sivir', 'Annie']","['RekSai', 'Gnar', 'Kassadin']"
8,"['Lissandra', 'Janna', 'Kassadin']","['Nunu', 'Gnar', 'RekSai']"
9,"['JarvanIV', 'Gnar', 'Sivir']","['Rumble', 'Lissandra', 'Fizz']"
10,"['Rumble', 'Janna', 'Kassadin']","['RekSai', 'JarvanIV', 'Lissandra']"
11,"['Irelia', 'Annie', 'Sivir']","['RekSai', 'Lissandra', 'Kassadin']"
12,"['Janna', 'Rumble']","['Nocturne', 'Sivir', 'Irelia']"
13,"['Azir', 'Lulu', 'Cassiopeia']","['Rumble', 'Kassadin', 'RekSai']"
14,"['Azir', 'Kassadin', 'Lissandra']","['RekSai', 'Leblanc', 'Rumble']"
15,"['Kassadin', 'Sivir', 'Lissandra']","['RekSai', 'Irelia', 'Rumble']"
16,"['Annie', 'Kassadin', 'Kalista']","['JarvanIV', 'Cassiopeia', 'Lissandra']"
17,"['Kalista', 'Lissandra', 'Annie']","['RekSai', 'Kassadin', 'Corki']"
18,"['Cassiopeia', 'Annie', 'Sivir']","['Kalista', 'Rumble', 'Kassadin']"
19,"['Irelia', 'Jax', 'Sivir']","['Rumble', 'Kassadin', 'Lissandra']"
20,"['Zed', 'Azir', 'Kassadin']","['Irelia', 'Gnar', 'Xerath']"
21,"['Leblanc', 'Xerath', 'Azir']","['JarvanIV', 'Kassadin', 'Lissandra']"
22,"['Nidalee', 'Leblanc', 'Ahri']","['Kalista', 'Rumble', 'Lissandra']"
23,"['Rumble', 'Kassadin', 'Annie']","['JarvanIV', 'Lissandra', 'Ahri']"
24,"['Irelia', 'Ahri', 'Gnar']","['Kalista', 'Kassadin', 'Annie']"
25,"['Kalista', 'Annie', 'Blitzcrank']","['Maokai', 'Lissandra', 'Leblanc']"
26,"['Ahri', 'Irelia', 'Gnar']","['Kassadin', 'Lissandra', 'Kalista']"
27,"['Kassadin', 'JarvanIV', 'Morgana']","['Ahri', 'Annie', 'Kalista']"
28,"['Thresh', 'Irelia', 'Gnar']","['Lissandra', 'RekSai', 'Kassadin']"
29,"['Zed', 'Janna', 'Maokai']","['Kassadin', 'JarvanIV', 'Irelia']"
30,"['Rumble', 'Leblanc', 'Sivir']","['Kalista', 'JarvanIV', 'Lissandra']"
31,"['Vi', 'Lissandra', 'Ahri']","['Xerath', 'Maokai', 'Gnar']"
32,"['LeeSin', 'Nidalee', 'Kalista']","['Ahri', 'JarvanIV', 'Rengar']"
33,"['Lissandra', 'Rumble', 'Morgana']","['Ahri', 'Annie', 'Kassadin']"
34,"['Annie', 'Janna', 'Lissandra']","['Irelia', 'Morgana', 'Nidalee']"
35,"['Ahri', 'Leblanc', 'Nidalee']","['Corki', 'Morgana', 'Kalista']"
36,"['Kalista', 'Nidalee', 'Rumble']","['Morgana', 'Annie', 'Gnar']"
37,"['Irelia', 'Kassadin', 'Kalista']","['Ahri', 'LeeSin', 'Leblanc']"
38,"['Xerath', 'Leblanc', 'Maokai']","['Rumble', 'Morgana', 'Nidalee']"
39,"['Nidalee', 'Ahri', 'Leblanc']","['Morgana', 'Corki', 'Lissandra']"
40,"['Irelia', 'Nidalee', 'Lissandra']","['JarvanIV', 'Ahri', 'Rumble']"
41,"['Kalista', 'Zed', 'Ahri']","['Lissandra', 'Rumble', 'Morgana']"
42,"['Vi', 'Zed', 'JarvanIV']","['Nidalee', 'Irelia', 'Lissandra']"
43,"['Morgana', 'Kassadin', 'Kennen']","['Lissandra', 'Kalista', 'Rumble']"
44,"['Kalista', 'Nidalee', 'Lissandra']","['Annie', 'JarvanIV', 'Sivir']"
45,"['Irelia', 'Morgana', 'JarvanIV']","['Lissandra', 'Kalista', 'Annie']"
46,"['Morgana', 'Nidalee', 'Cassiopeia']","['Veigar', 'Annie', 'Lissandra']"
47,"['Kalista', 'Maokai', 'Zed']","['Fizz', 'Morgana', 'Vi']"
48,"['Rumble', 'Morgana', 'Annie']","['Maokai', 'Zed', 'Lissandra']"
49,"['Nidalee', 'Morgana', 'Rumble']","['Zed', 'Lissandra', 'Kassadin']"
50,"['Maokai', 'JarvanIV', 'Kassadin']","['Ahri', 'Rumble', 'Lissandra']"
51,"['Kassadin', 'Rumble', 'Veigar']","['Lissandra', 'Nidalee', 'Hecarim']"
52,"['Morgana', 'Rumble', 'Lulu']","['Lissandra', 'Sivir', 'Irelia']"
53,"['Thresh', 'Zed', 'Maokai']","['Janna', 'Annie', 'Rumble']"
54,"['Kassadin', 'Rumble', 'Thresh']","['JarvanIV', 'Nidalee', 'Veigar']"
55,"['Zed', 'Annie', 'Sion']","['Lissandra', 'Rumble', 'Nidalee']"
56,"['Irelia', 'JarvanIV', 'Morgana']","['Lissandra', 'Fizz', 'Zed']"
57,"['Annie', 'RekSai', 'Hecarim']","['Lissandra', 'Rumble', 'Veigar']"
58,"['Veigar', 'Maokai', 'Janna']","['Lissandra', 'Rumble', 'Kennen']"
59,"['Kennen', 'Annie', 'Irelia']","['Kalista', 'Lissandra', 'Maokai']"
60,"['Rumble', 'Kassadin', 'JarvanIV']","['Leblanc', 'Irelia', 'Lissandra']"
61,"['Nidalee', 'JarvanIV', 'Morgana']","['Lissandra', 'RekSai', 'Maokai']"
62,"['Kalista', 'Rumble', 'Kennen']","['Morgana', 'Zed', 'Maokai']"
63,"['Janna', 'Rumble', 'Morgana']","['Lissandra', 'Maokai', 'Nami']"
64,"['Nidalee', 'Maokai', 'Morgana']","['Lissandra', 'Rumble', 'RekSai']"
65,"['Irelia', 'Maokai', 'Nidalee']","['Lissandra', 'Morgana', 'RekSai']"
66,"['Sivir', 'Lulu', 'Rumble']","['Nidalee', 'Maokai', 'Zed']"
67,"['Irelia', 'Leblanc', 'Morgana']","['Zed', 'Ahri', 'Maokai']"
68,"['LeeSin', 'Rumble', 'Nidalee']","['Lissandra', 'RekSai', 'Morgana']"
69,"['Kennen', 'Zed', 'Lissandra']","['Fizz', 'Hecarim', 'Morgana']"
70,"['Morgana', 'Leblanc', 'Maokai']","['Lissandra', 'RekSai', 'Hecarim']"
71,"['LeeSin', 'Sejuani', 'Karthus']","['Lissandra', 'RekSai', 'Rengar']"
72,"['Rumble', 'Zed', 'Nidalee']","['Kennen', 'Morgana', 'Lulu']"
73,"['Morgana', 'Hecarim', 'Sejuani']","['Nidalee', 'Sivir', 'Annie']"
74,"['Sivir', 'Annie', 'Zed']","['Nidalee', 'Lulu', 'Maokai']"
75,"['Leblanc', 'Nidalee', 'Irelia']","['Maokai', 'Hecarim', 'RekSai']"
76,"['Maokai', 'Nidalee', 'Nunu']","['Annie', 'Leblanc', 'Ahri']"
77,"['Hecarim', 'Morgana', 'Sion']","['Sivir', 'Annie', 'Maokai']"
78,"['Zed', 'Nidalee', 'Lissandra']","['Leblanc', 'Morgana', 'RekSai']"
79,"['Maokai', 'Sejuani', 'RekSai']","['Karthus', 'Rumble', 'Leona']"
80,"['Kennen', 'RekSai', 'Sejuani']","['Nidalee', 'Maokai', 'Rengar']"
81,"['Nidalee', 'Lissandra', 'Maokai']","['Vladimir', 'Urgot', 'Hecarim']"
82,"['Kalista', 'Sion', 'Ahri']","['Leblanc', 'Nidalee', 'Gragas']"
83,"['Nunu', 'Hecarim', 'Sejuani']","['Lulu', 'Maokai', 'Urgot']"
84,"['Zed', 'Annie', 'Leblanc']","['Rengar', 'Maokai', 'Sejuani']"
85,"['Hecarim', 'Sejuani', 'Vi']","['Karthus', 'LeeSin', 'Nidalee']"
86,"['Rengar', 'Irelia', 'Sejuani']","['Maokai', 'Hecarim', 'Nidalee']"
87,"['Lulu', 'Nidalee', 'Zed']","['Rumble', 'Sejuani', 'Morgana']"
88,"['Nidalee', 'RekSai', 'Lulu']","['Sion', 'Maokai', 'Rumble']"
89,"['Nidalee', 'Orianna', 'Leblanc']","['Urgot', 'Hecarim', 'Sejuani']"
90,"['Karthus', 'Nidalee', 'LeeSin']","['Sion', 'Sejuani', 'Morgana']"
91,"['Annie', 'Vladimir', 'Maokai']","['Orianna', 'Leblanc', 'Rumble']"
92,"['Lulu', 'Corki', 'Sejuani']","['Zed', 'Rumble', 'Nidalee']"
93,"['Leblanc', 'Kalista', 'Hecarim']","['Alistar', 'Sejuani', 'Ashe']"
94,[],"['KogMaw', 'Nidalee', 'Evelynn']"
